Overall rank,Year,Country,Region,Score,GDP_per_capita,Social_Support,Life_expectancy,Freedom_to_choices,Generosity
28,2019,Saudi Arabia,Middle East and Northern Africa,6.375,1.403,1.357,0.795,0.439,0.08
29,2019,Qatar,Middle East and Northern Africa,6.374,1.684,1.313,0.871,0.555,0.22
32,2018,Qatar,Middle East and Northern Africa,6.374,1.649,1.303,0.748,0.654,0.256
33,2018,Saudi Arabia,Middle East and Northern Africa,6.371,1.379,1.331,0.633,0.509,0.098
34,2016,Saudi Arabia,Middle East and Northern Africa,6.379,1.49,0.848,0.593,0.379,0.155
35,2015,Saudi Arabia,Middle East and Northern Africa,6.411,1.395,1.084,0.72,0.31,0.137
35,2017,Qatar,Middle East and Northern Africa,6.375,1.871,1.274,0.71,0.604,0.33
36,2016,Qatar,Middle East and Northern Africa,6.375,1.824,0.88,0.717,0.567,0.324
37,2017,Saudi Arabia,Middle East and Northern Africa,6.344,1.531,1.287,0.59,0.45,0.148
37,2019,Bahrain,Middle East and Northern Africa,6.199,1.362,1.368,0.871,0.536,0.255
38,2016,Algeria,Middle East and Northern Africa,6.355,1.053,0.833,0.618,0.21,0.07
39,2015,Kuwait,Middle East and Northern Africa,6.295,1.554,1.166,0.725,0.555,0.162
39,2017,Kuwait,Middle East and Northern Africa,6.105,1.633,1.26,0.632,0.496,0.228
41,2016,Kuwait,Middle East and Northern Africa,6.239,1.617,0.878,0.636,0.432,0.16
41,2017,Bahrain,Middle East and Northern Africa,6.087,1.488,1.323,0.653,0.537,0.173
42,2016,Bahrain,Middle East and Northern Africa,6.218,1.44,0.944,0.657,0.474,0.171
43,2018,Bahrain,Middle East and Northern Africa,6.105,1.338,1.366,0.698,0.594,0.243
45,2018,Kuwait,Middle East and Northern Africa,6.083,1.474,1.301,0.675,0.554,0.167
49,2015,Bahrain,Middle East and Northern Africa,5.96,1.324,1.216,0.747,0.455,0.174
51,2019,Kuwait,Middle East and Northern Africa,6.011,1.05,1.409,0.828,0.557,0.359
53,2017,Algeria,Middle East and Northern Africa,5.872,1.092,1.146,0.618,0.233,0.069
63,2015,Libya,Middle East and Northern Africa,5.754,1.131,1.119,0.704,0.417,0.183
67,2016,Libya,Middle East and Northern Africa,5.615,1.067,0.951,0.523,0.407,0.171
68,2015,Algeria,Middle East and Northern Africa,5.605,0.939,1.078,0.618,0.286,0.078
68,2017,Libya,Middle East and Northern Africa,5.525,1.102,1.358,0.52,0.466,0.152
69,2017,Turkey,Middle East and Northern Africa,5.5,1.198,1.338,0.638,0.301,0.047
70,2018,Libya,Middle East and Northern Africa,5.566,0.985,1.35,0.553,0.496,0.116
72,2019,Libya,Middle East and Northern Africa,5.525,1.044,1.303,0.673,0.416,0.133
74,2018,Turkey,Middle East and Northern Africa,5.483,1.148,1.38,0.686,0.324,0.106
74,2017,Jordan,Middle East and Northern Africa,5.336,0.991,1.239,0.605,0.418,0.172
76,2015,Turkey,Middle East and Northern Africa,5.332,1.061,0.946,0.732,0.228,0.123
78,2016,Turkey,Middle East and Northern Africa,5.389,1.165,0.877,0.647,0.239,0.047
79,2019,Turkey,Middle East and Northern Africa,5.373,1.183,1.36,0.808,0.195,0.083
80,2016,Jordan,Middle East and Northern Africa,5.303,0.997,0.862,0.607,0.36,0.143
82,2015,Jordan,Middle East and Northern Africa,5.192,0.902,1.054,0.696,0.407,0.111
84,2018,Algeria,Middle East and Northern Africa,5.295,0.979,1.154,0.687,0.077,0.055
84,2017,Morocco,Middle East and Northern Africa,5.235,0.878,0.775,0.598,0.408,0.032
85,2018,Morocco,Middle East and Northern Africa,5.254,0.779,0.797,0.669,0.46,0.026
88,2017,Lebanon,Middle East and Northern Africa,5.225,1.075,1.13,0.735,0.289,0.264
88,2019,Algeria,Middle East and Northern Africa,5.211,1.002,1.16,0.785,0.086,0.073
88,2018,Lebanon,Middle East and Northern Africa,5.199,0.965,1.166,0.785,0.292,0.187
89,2019,Morocco,Middle East and Northern Africa,5.208,0.801,0.782,0.782,0.418,0.036
90,2018,Jordan,Middle East and Northern Africa,5.161,0.822,1.265,0.645,0.468,0.13
90,2016,Morocco,Middle East and Northern Africa,5.151,0.841,0.386,0.595,0.256,0.041
91,2019,Lebanon,Middle East and Northern Africa,5.197,0.987,1.224,0.815,0.216,0.166
92,2015,Morocco,Middle East and Northern Africa,5.013,0.735,0.641,0.61,0.417,0.072
93,2016,Lebanon,Middle East and Northern Africa,5.129,1.123,0.642,0.762,0.262,0.237
98,2016,Tunisia,Middle East and Northern Africa,5.045,0.977,0.432,0.596,0.236,0.039
101,2019,Jordan,Middle East and Northern Africa,4.906,0.837,1.225,0.815,0.383,0.11
102,2017,Tunisia,Middle East and Northern Africa,4.805,1.007,0.868,0.613,0.29,0.05
103,2015,Lebanon,Middle East and Northern Africa,4.839,1.026,0.8,0.839,0.339,0.219
103,2017,Palestinian Territories,Middle East and Northern Africa,4.775,0.716,1.156,0.566,0.255,0.114
104,2018,Palestinian Territories,Middle East and Northern Africa,4.743,0.642,1.217,0.602,0.266,0.086
104,2017,Egypt,Middle East and Northern Africa,4.735,0.99,0.997,0.52,0.282,0.129
105,2016,Iran,Middle East and Northern Africa,4.813,1.118,0.389,0.642,0.225,0.385
106,2018,Iran,Middle East and Northern Africa,4.707,1.059,0.771,0.691,0.459,0.282
107,2015,Tunisia,Middle East and Northern Africa,4.739,0.881,0.604,0.738,0.263,0.064
108,2016,Palestinian Territories,Middle East and Northern Africa,4.754,0.67,0.716,0.568,0.177,0.112
108,2015,Palestinian Territories,Middle East and Northern Africa,4.715,0.599,0.926,0.66,0.245,0.113
108,2017,Iran,Middle East and Northern Africa,4.692,1.157,0.712,0.639,0.249,0.387
110,2019,Palestinian Territories,Middle East and Northern Africa,4.696,0.657,1.247,0.672,0.225,0.103
110,2015,Iran,Middle East and Northern Africa,4.686,1.009,0.544,0.698,0.3,0.381
111,2018,Tunisia,Middle East and Northern Africa,4.592,0.9,0.906,0.69,0.271,0.04
112,2015,Iraq,Middle East and Northern Africa,4.677,0.985,0.819,0.602,0,0.179
112,2016,Iraq,Middle East and Northern Africa,4.575,1.075,0.592,0.511,0.249,0.196
117,2019,Iran,Middle East and Northern Africa,4.548,1.1,0.842,0.785,0.305,0.27
117,2017,Iraq,Middle East and Northern Africa,4.497,1.103,0.979,0.501,0.289,0.2
117,2018,Iraq,Middle East and Northern Africa,4.456,1.01,0.971,0.536,0.304,0.148
120,2016,Egypt,Middle East and Northern Africa,4.362,0.954,0.498,0.521,0.188,0.127
122,2018,Egypt,Middle East and Northern Africa,4.419,0.885,1.025,0.553,0.312,0.092
124,2019,Tunisia,Middle East and Northern Africa,4.461,0.921,1,0.815,0.167,0.059
126,2019,Iraq,Middle East and Northern Africa,4.437,1.043,0.98,0.574,0.241,0.148
135,2015,Egypt,Middle East and Northern Africa,4.194,0.882,0.747,0.617,0.173,0.113
136,2015,Yemen,Middle East and Northern Africa,4.077,0.546,0.681,0.401,0.356,0.091
137,2019,Egypt,Middle East and Northern Africa,4.166,0.913,1.039,0.644,0.241,0.076
146,2017,Yemen,Middle East and Northern Africa,3.593,0.592,0.935,0.31,0.249,0.104
147,2016,Yemen,Middle East and Northern Africa,3.724,0.579,0.475,0.31,0.229,0.098
149,2019,Syria,Middle East and Northern Africa,3.462,0.619,0.378,0.44,0.013,0.331
150,2018,Syria,Middle East and Northern Africa,3.462,0.689,0.382,0.539,0.088,0.376
151,2019,Yemen,Middle East and Northern Africa,3.38,0.287,1.163,0.463,0.143,0.108
152,2017,Syria,Middle East and Northern Africa,3.462,0.777,0.396,0.501,0.082,0.494
152,2018,Yemen,Middle East and Northern Africa,3.355,0.442,1.073,0.343,0.244,0.083
156,2016,Syria,Middle East and Northern Africa,3.069,0.747,0.149,0.63,0.069,0.484
156,2015,Syria,Middle East and Northern Africa,3.006,0.663,0.475,0.722,0.157,0.472
5,2015,Canada,North America,7.427,1.326,1.323,0.906,0.633,0.458
6,2016,Canada,North America,7.404,1.44,1.096,0.828,0.574,0.448
7,2018,Canada,North America,7.328,1.33,1.532,0.896,0.653,0.321
7,2017,Canada,North America,7.316,1.479,1.481,0.835,0.611,0.436
9,2019,Canada,North America,7.278,1.365,1.505,1.039,0.584,0.285
13,2016,United States,North America,7.104,1.508,1.048,0.779,0.482,0.411
14,2017,United States,North America,6.993,1.546,1.42,0.774,0.506,0.393
15,2015,United States,North America,7.119,1.395,1.247,0.862,0.546,0.401
18,2018,United States,North America,6.886,1.398,1.471,0.819,0.547,0.291
19,2019,United States,North America,6.892,1.433,1.457,0.874,0.454,0.28
22,2016,Singapore,Southeastern Asia,6.739,1.646,0.868,0.947,0.488,0.327
24,2015,Singapore,Southeastern Asia,6.798,1.522,1.02,1.025,0.543,0.311
26,2017,Singapore,Southeastern Asia,6.572,1.692,1.354,0.949,0.55,0.346
32,2017,Thailand,Southeastern Asia,6.424,1.128,1.426,0.647,0.58,0.572
33,2016,Thailand,Southeastern Asia,6.474,1.089,1.045,0.649,0.496,0.587
34,2015,Thailand,Southeastern Asia,6.455,0.967,1.265,0.739,0.557,0.576
34,2018,Singapore,Southeastern Asia,6.343,1.529,1.451,1.008,0.631,0.261
34,2019,Singapore,Southeastern Asia,6.262,1.572,1.463,1.141,0.556,0.271
35,2018,Malaysia,Southeastern Asia,6.322,1.161,1.258,0.669,0.356,0.311
42,2017,Malaysia,Southeastern Asia,6.084,1.291,1.285,0.619,0.402,0.417
46,2018,Thailand,Southeastern Asia,6.072,1.016,1.417,0.707,0.637,0.364
47,2016,Malaysia,Southeastern Asia,6.005,1.251,0.88,0.624,0.39,0.415
52,2019,Thailand,Southeastern Asia,6.008,1.05,1.409,0.828,0.557,0.359
61,2015,Malaysia,Southeastern Asia,5.77,1.125,1.07,0.724,0.53,0.331
69,2019,Philippines,Southeastern Asia,5.631,0.807,1.293,0.657,0.558,0.117
71,2018,Philippines,Southeastern Asia,5.524,0.775,1.312,0.513,0.643,0.12
72,2017,Philippines,Southeastern Asia,5.43,0.858,1.254,0.468,0.585,0.194
74,2015,Indonesia,Southeastern Asia,5.399,0.828,1.087,0.638,0.466,0.515
75,2015,Vietnam,Southeastern Asia,5.36,0.632,0.912,0.747,0.594,0.169
79,2016,Indonesia,Southeastern Asia,5.314,0.951,0.876,0.494,0.392,0.565
80,2019,Malaysia,Southeastern Asia,5.339,1.221,1.171,0.828,0.508,0.26
81,2017,Indonesia,Southeastern Asia,5.262,0.996,1.274,0.492,0.443,0.612
82,2016,Philippines,Southeastern Asia,5.279,0.812,0.879,0.47,0.549,0.217
90,2015,Philippines,Southeastern Asia,5.073,0.705,1.035,0.581,0.625,0.25
92,2019,Indonesia,Southeastern Asia,5.192,0.931,1.203,0.66,0.491,0.498
94,2019,Vietnam,Southeastern Asia,5.175,0.741,1.346,0.851,0.543,0.147
94,2017,Vietnam,Southeastern Asia,5.074,0.789,1.277,0.652,0.571,0.235
95,2018,Vietnam,Southeastern Asia,5.103,0.715,1.365,0.702,0.618,0.177
96,2018,Indonesia,Southeastern Asia,5.093,0.899,1.215,0.522,0.538,0.484
96,2016,Vietnam,Southeastern Asia,5.061,0.74,0.791,0.662,0.56,0.251
99,2015,Laos,Southeastern Asia,4.876,0.591,0.738,0.549,0.596,0.422
102,2016,Laos,Southeastern Asia,4.876,0.68,0.55,0.383,0.522,0.431
105,2019,Laos,Southeastern Asia,4.796,0.764,1.03,0.551,0.547,0.266
109,2019,Cambodia,Southeastern Asia,4.7,0.574,1.122,0.637,0.609,0.232
110,2018,Laos,Southeastern Asia,4.623,0.72,1.034,0.441,0.626,0.23
114,2017,Myanmar,Southeastern Asia,4.545,0.367,1.123,0.398,0.514,0.838
119,2016,Myanmar,Southeastern Asia,4.395,0.341,0.7,0.399,0.427,0.82
120,2018,Cambodia,Southeastern Asia,4.433,0.549,1.088,0.457,0.696,0.256
129,2015,Myanmar,Southeastern Asia,4.307,0.271,0.709,0.482,0.44,0.796
129,2017,Cambodia,Southeastern Asia,4.168,0.602,1.006,0.43,0.633,0.386
130,2018,Myanmar,Southeastern Asia,4.308,0.682,1.174,0.429,0.58,0.598
131,2019,Myanmar,Southeastern Asia,4.36,0.71,1.181,0.555,0.525,0.566
140,2016,Cambodia,Southeastern Asia,3.907,0.556,0.538,0.425,0.589,0.403
145,2015,Cambodia,Southeastern Asia,3.819,0.46,0.627,0.611,0.662,0.404
111,2017,Namibia,Southern Africa,4.574,0.964,1.098,0.339,0.52,0.077
113,2019,Namibia,Southern Africa,4.639,0.879,1.313,0.477,0.401,0.07
113,2016,Namibia,Southern Africa,4.574,0.933,0.704,0.347,0.486,0.078
119,2018,Namibia,Southern Africa,4.441,0.874,1.281,0.365,0.519,0.051
142,2018,Angola,Southern Africa,3.795,0.73,1.125,0.269,0,0.079
67,2019,Pakistan,Southern Asia,5.653,0.677,0.886,0.535,0.313,0.22
71,2017,"Hong Kong S.A.R., China",Southern Asia,5.472,1.552,1.263,0.943,0.491,0.374
75,2018,Pakistan,Southern Asia,5.472,0.652,0.81,0.424,0.334,0.216
79,2015,Bhutan,Southern Asia,5.253,0.77,1.104,0.574,0.532,0.48
80,2017,Pakistan,Southern Asia,5.269,0.727,0.673,0.402,0.235,0.315
81,2015,Pakistan,Southern Asia,5.194,0.595,0.414,0.515,0.121,0.337
84,2016,Bhutan,Southern Asia,5.196,0.853,0.908,0.498,0.461,0.485
92,2016,Pakistan,Southern Asia,5.132,0.688,0.261,0.403,0.146,0.312
95,2019,Bhutan,Southern Asia,5.082,0.813,1.321,0.604,0.457,0.37
97,2018,Bhutan,Southern Asia,5.082,0.796,1.335,0.527,0.541,0.364
97,2017,Bhutan,Southern Asia,5.011,0.885,1.34,0.496,0.502,0.474
99,2017,Nepal,Southern Asia,4.962,0.48,1.179,0.504,0.44,0.394
100,2019,Nepal,Southern Asia,4.913,0.446,1.226,0.677,0.439,0.285
101,2018,Nepal,Southern Asia,4.88,0.425,1.228,0.539,0.526,0.302
107,2016,Nepal,Southern Asia,4.793,0.446,0.697,0.501,0.37,0.382
109,2015,Bangladesh,Southern Asia,4.694,0.398,0.431,0.602,0.408,0.212
110,2016,Bangladesh,Southern Asia,4.643,0.542,0.247,0.53,0.398,0.191
110,2017,Bangladesh,Southern Asia,4.608,0.587,0.735,0.533,0.478,0.172
115,2018,Bangladesh,Southern Asia,4.5,0.532,0.85,0.579,0.58,0.153
116,2018,Sri Lanka,Southern Asia,4.471,0.918,1.314,0.672,0.585,0.307
117,2015,India,Southern Asia,4.565,0.645,0.382,0.515,0.398,0.265
117,2016,Sri Lanka,Southern Asia,4.415,0.973,0.848,0.62,0.508,0.47
118,2016,India,Southern Asia,4.404,0.74,0.292,0.451,0.403,0.25
120,2017,Sri Lanka,Southern Asia,4.44,1.01,1.26,0.625,0.561,0.491
121,2015,Nepal,Southern Asia,4.514,0.36,0.864,0.569,0.383,0.323
122,2017,India,Southern Asia,4.315,0.792,0.754,0.455,0.47,0.232
125,2019,Bangladesh,Southern Asia,4.456,0.562,0.928,0.723,0.527,0.166
130,2019,Sri Lanka,Southern Asia,4.366,0.949,1.265,0.831,0.47,0.244
132,2015,Sri Lanka,Southern Asia,4.271,0.835,1.019,0.708,0.537,0.408
133,2018,India,Southern Asia,4.19,0.721,0.747,0.485,0.539,0.172
140,2019,India,Southern Asia,4.015,0.755,0.765,0.588,0.498,0.2
141,2017,Afghanistan,Southern Asia,3.794,0.401,0.582,0.181,0.106,0.312
145,2018,Afghanistan,Southern Asia,3.632,0.332,0.537,0.255,0.085,0.191
153,2015,Afghanistan,Southern Asia,3.575,0.32,0.303,0.303,0.234,0.365
154,2016,Afghanistan,Southern Asia,3.36,0.382,0.11,0.173,0.164,0.313
154,2019,Afghanistan,Southern Asia,3.203,0.35,0.517,0.361,0,0.158
55,2018,Mauritius,Sub-Saharan Africa,5.891,1.09,1.387,0.684,0.584,0.245
57,2019,Mauritius,Sub-Saharan Africa,5.888,1.12,1.402,0.798,0.498,0.215
64,2017,Mauritius,Sub-Saharan Africa,5.629,1.189,1.21,0.638,0.491,0.361
66,2016,Mauritius,Sub-Saharan Africa,5.648,1.144,0.757,0.662,0.461,0.37
71,2015,Mauritius,Sub-Saharan Africa,5.477,1.008,0.985,0.71,0.561,0.377
78,2015,Nigeria,Sub-Saharan Africa,5.268,0.654,0.904,0.16,0.343,0.272
85,2019,Nigeria,Sub-Saharan Africa,5.265,0.696,1.111,0.245,0.426,0.215
85,2015,Zambia,Sub-Saharan Africa,5.129,0.47,0.916,0.299,0.488,0.196
91,2018,Nigeria,Sub-Saharan Africa,5.155,0.689,1.172,0.048,0.462,0.201
91,2015,Somaliland region,Sub-Saharan Africa,5.057,0.188,0.952,0.439,0.466,0.503
94,2015,Mozambique,Sub-Saharan Africa,4.971,0.083,1.026,0.091,0.34,0.223
95,2017,Nigeria,Sub-Saharan Africa,5.074,0.784,1.216,0.057,0.395,0.231
96,2019,Cameroon,Sub-Saharan Africa,5.044,0.549,0.91,0.331,0.381,0.187
97,2016,Somaliland Region,Sub-Saharan Africa,5.057,0.256,0.759,0.331,0.391,0.515
97,2015,Lesotho,Sub-Saharan Africa,4.898,0.375,1.041,0.076,0.318,0.164
98,2019,Ghana,Sub-Saharan Africa,4.996,0.611,0.868,0.486,0.381,0.245
99,2018,Cameroon,Sub-Saharan Africa,4.975,0.535,0.891,0.182,0.454,0.183
99,2019,Ivory Coast,Sub-Saharan Africa,4.944,0.569,0.808,0.232,0.352,0.154
101,2015,Swaziland,Sub-Saharan Africa,4.867,0.712,1.073,0.076,0.307,0.183
101,2017,South Africa,Sub-Saharan Africa,4.829,1.055,1.385,0.187,0.479,0.139
102,2019,Benin,Sub-Saharan Africa,4.883,0.393,0.437,0.397,0.349,0.175
103,2016,Nigeria,Sub-Saharan Africa,4.875,0.752,0.645,0.051,0.279,0.232
103,2019,Congo (Brazzaville),Sub-Saharan Africa,4.812,0.673,0.799,0.508,0.372,0.105
103,2018,Gabon,Sub-Saharan Africa,4.758,1.036,1.164,0.404,0.356,0.032
104,2019,Gabon,Sub-Saharan Africa,4.799,1.057,1.183,0.571,0.295,0.043
105,2018,South Africa,Sub-Saharan Africa,4.724,0.94,1.41,0.33,0.516,0.103
106,2016,Zambia,Sub-Saharan Africa,4.795,0.612,0.638,0.236,0.427,0.179
106,2019,South Africa,Sub-Saharan Africa,4.722,0.96,1.351,0.469,0.389,0.13
106,2017,Sierra Leone,Sub-Saharan Africa,4.709,0.368,0.984,0.006,0.319,0.293
107,2017,Cameroon,Sub-Saharan Africa,4.695,0.564,0.946,0.133,0.43,0.236
107,2018,Ivory Coast,Sub-Saharan Africa,4.671,0.541,0.872,0.08,0.467,0.146
108,2018,Ghana,Sub-Saharan Africa,4.657,0.592,0.896,0.337,0.499,0.212
109,2018,Senegal,Sub-Saharan Africa,4.631,0.429,1.117,0.433,0.406,0.138
111,2019,Senegal,Sub-Saharan Africa,4.681,0.45,1.134,0.571,0.292,0.153
111,2016,Sierra Leone,Sub-Saharan Africa,4.635,0.365,0.628,0,0.307,0.239
112,2017,Kenya,Sub-Saharan Africa,4.553,0.56,1.068,0.31,0.453,0.445
113,2015,South Africa,Sub-Saharan Africa,4.642,0.92,1.185,0.277,0.332,0.12
113,2018,Sierra Leone,Sub-Saharan Africa,4.571,0.256,0.813,0,0.355,0.238
113,2017,Mozambique,Sub-Saharan Africa,4.55,0.234,0.871,0.107,0.481,0.322
114,2015,Ghana,Sub-Saharan Africa,4.633,0.546,0.68,0.401,0.423,0.231
114,2019,Niger,Sub-Saharan Africa,4.628,0.138,0.774,0.366,0.318,0.188
114,2018,Congo (Brazzaville),Sub-Saharan Africa,4.559,0.682,0.811,0.343,0.514,0.091
114,2016,Cameroon,Sub-Saharan Africa,4.513,0.525,0.625,0.127,0.427,0.227
115,2015,Zimbabwe,Sub-Saharan Africa,4.61,0.271,1.033,0.335,0.259,0.19
115,2019,Burkina Faso,Sub-Saharan Africa,4.587,0.331,1.056,0.38,0.255,0.177
115,2017,Senegal,Sub-Saharan Africa,4.535,0.479,1.18,0.409,0.378,0.183
115,2016,Ethiopia,Sub-Saharan Africa,4.508,0.293,0.379,0.346,0.367,0.295
116,2015,Liberia,Sub-Saharan Africa,4.571,0.071,0.79,0.342,0.285,0.244
116,2017,Zambia,Sub-Saharan Africa,4.514,0.636,1.003,0.258,0.462,0.25
116,2016,South Africa,Sub-Saharan Africa,4.459,1.024,0.961,0.186,0.425,0.137
118,2015,Sudan,Sub-Saharan Africa,4.55,0.521,1.014,0.369,0.101,0.191
118,2019,Guinea,Sub-Saharan Africa,4.534,0.38,0.829,0.375,0.332,0.207
118,2017,Gabon,Sub-Saharan Africa,4.465,1.198,1.156,0.357,0.312,0.044
118,2018,Mali,Sub-Saharan Africa,4.447,0.37,1.233,0.152,0.367,0.139
119,2017,Ethiopia,Sub-Saharan Africa,4.46,0.339,0.865,0.353,0.409,0.313
120,2015,Congo (Kinshasa),Sub-Saharan Africa,4.517,0,1.001,0.098,0.226,0.248
121,2019,Kenya,Sub-Saharan Africa,4.509,0.512,0.983,0.581,0.431,0.372
121,2018,Burkina Faso,Sub-Saharan Africa,4.424,0.314,1.097,0.254,0.312,0.175
122,2015,Ethiopia,Sub-Saharan Africa,4.512,0.191,0.604,0.441,0.435,0.243
122,2019,Mauritania,Sub-Saharan Africa,4.49,0.57,1.167,0.489,0.066,0.106
122,2016,Kenya,Sub-Saharan Africa,4.356,0.523,0.762,0.301,0.406,0.413
123,2015,Sierra Leone,Sub-Saharan Africa,4.507,0.33,0.956,0,0.408,0.215
123,2019,Mozambique,Sub-Saharan Africa,4.466,0.204,0.986,0.39,0.494,0.197
123,2018,Mozambique,Sub-Saharan Africa,4.417,0.198,0.902,0.173,0.531,0.206
123,2017,Mauritania,Sub-Saharan Africa,4.292,0.648,1.272,0.285,0.096,0.202
124,2015,Mauritania,Sub-Saharan Africa,4.436,0.454,0.869,0.359,0.242,0.219
124,2018,Kenya,Sub-Saharan Africa,4.41,0.493,1.048,0.454,0.504,0.352
124,2017,Congo (Brazzaville),Sub-Saharan Africa,4.291,0.809,0.832,0.29,0.435,0.121
124,2016,Ghana,Sub-Saharan Africa,4.276,0.631,0.494,0.297,0.41,0.212
125,2015,Kenya,Sub-Saharan Africa,4.419,0.365,0.999,0.414,0.422,0.375
125,2018,Zambia,Sub-Saharan Africa,4.377,0.562,1.047,0.295,0.503,0.221
125,2016,Congo (Kinshasa),Sub-Saharan Africa,4.272,0.057,0.807,0.188,0.156,0.255
126,2015,Djibouti,Sub-Saharan Africa,4.369,0.44,0.592,0.363,0.461,0.181
126,2018,Mauritania,Sub-Saharan Africa,4.356,0.557,1.245,0.292,0.129,0.134
126,2017,Congo (Kinshasa),Sub-Saharan Africa,4.28,0.092,1.229,0.191,0.236,0.246
127,2019,Congo (Kinshasa),Sub-Saharan Africa,4.418,0.094,1.125,0.357,0.269,0.212
127,2018,Ethiopia,Sub-Saharan Africa,4.35,0.308,0.95,0.391,0.452,0.22
127,2016,Congo (Brazzaville),Sub-Saharan Africa,4.236,0.771,0.478,0.282,0.379,0.121
127,2017,Mali,Sub-Saharan Africa,4.19,0.476,1.281,0.169,0.307,0.183
128,2019,Mali,Sub-Saharan Africa,4.39,0.385,1.105,0.308,0.327,0.153
128,2015,Botswana,Sub-Saharan Africa,4.332,0.994,1.105,0.048,0.495,0.105
128,2016,Senegal,Sub-Saharan Africa,4.219,0.443,0.774,0.405,0.311,0.191
128,2017,Ivory Coast,Sub-Saharan Africa,4.18,0.603,0.905,0.049,0.448,0.201
129,2019,Sierra Leone,Sub-Saharan Africa,4.374,0.268,0.841,0.242,0.309,0.252
130,2016,Mauritania,Sub-Saharan Africa,4.201,0.614,0.841,0.286,0.127,0.227
130,2017,Sudan,Sub-Saharan Africa,4.139,0.66,1.214,0.291,0.015,0.182
131,2018,Chad,Sub-Saharan Africa,4.301,0.358,0.907,0.053,0.189,0.181
131,2015,Malawi,Sub-Saharan Africa,4.292,0.016,0.411,0.226,0.431,0.331
131,2016,Zimbabwe,Sub-Saharan Africa,4.193,0.35,0.715,0.16,0.254,0.185
131,2017,Ghana,Sub-Saharan Africa,4.12,0.667,0.874,0.296,0.423,0.257
132,2019,Chad,Sub-Saharan Africa,4.35,0.35,0.766,0.192,0.174,0.198
132,2018,Congo (Kinshasa),Sub-Saharan Africa,4.245,0.069,1.136,0.204,0.312,0.197
132,2016,Malawi,Sub-Saharan Africa,4.156,0.087,0.147,0.294,0.414,0.31
133,2015,Cameroon,Sub-Saharan Africa,4.252,0.423,0.888,0.234,0.493,0.206
133,2016,Sudan,Sub-Saharan Africa,4.139,0.631,0.819,0.298,0,0.181
133,2017,Uganda,Sub-Saharan Africa,4.081,0.381,1.13,0.218,0.443,0.326
134,2019,Ethiopia,Sub-Saharan Africa,4.286,0.336,1.033,0.532,0.344,0.209
134,2018,Niger,Sub-Saharan Africa,4.166,0.131,0.867,0.221,0.39,0.175
134,2016,Gabon,Sub-Saharan Africa,4.121,1.159,0.724,0.349,0.281,0.062
134,2017,Burkina Faso,Sub-Saharan Africa,4.032,0.35,1.043,0.216,0.324,0.251
135,2018,Uganda,Sub-Saharan Africa,4.161,0.322,1.09,0.237,0.45,0.259
135,2016,Mali,Sub-Saharan Africa,4.073,0.313,0.863,0.163,0.275,0.211
135,2017,Niger,Sub-Saharan Africa,4.028,0.162,0.993,0.269,0.364,0.229
136,2019,Uganda,Sub-Saharan Africa,4.189,0.332,1.069,0.443,0.356,0.252
136,2018,Benin,Sub-Saharan Africa,4.141,0.378,0.372,0.24,0.44,0.163
136,2017,Malawi,Sub-Saharan Africa,3.97,0.233,0.513,0.315,0.467,0.287
137,2018,Sudan,Sub-Saharan Africa,4.139,0.605,1.24,0.312,0.016,0.134
137,2015,Angola,Sub-Saharan Africa,4.033,0.758,0.86,0.167,0.104,0.123
137,2016,Botswana,Sub-Saharan Africa,3.974,1.094,0.892,0.348,0.441,0.124
137,2017,Chad,Sub-Saharan Africa,3.936,0.438,0.954,0.041,0.162,0.216
138,2019,Zambia,Sub-Saharan Africa,4.107,0.578,1.058,0.426,0.431,0.247
138,2015,Mali,Sub-Saharan Africa,3.995,0.261,1.035,0.206,0.389,0.188
138,2016,Comoros,Sub-Saharan Africa,3.956,0.275,0.603,0.3,0.154,0.183
138,2017,Zimbabwe,Sub-Saharan Africa,3.875,0.376,1.083,0.197,0.336,0.189
139,2019,Togo,Sub-Saharan Africa,4.085,0.275,0.572,0.41,0.293,0.177
139,2018,Togo,Sub-Saharan Africa,3.999,0.259,0.474,0.253,0.434,0.158
139,2015,Congo (Brazzaville),Sub-Saharan Africa,3.989,0.679,0.663,0.311,0.415,0.124
139,2016,Ivory Coast,Sub-Saharan Africa,3.916,0.555,0.576,0.045,0.407,0.203
139,2017,Lesotho,Sub-Saharan Africa,3.808,0.521,1.19,0,0.391,0.157
140,2018,Guinea,Sub-Saharan Africa,3.964,0.344,0.792,0.211,0.394,0.185
140,2015,Comoros,Sub-Saharan Africa,3.956,0.239,0.793,0.363,0.229,0.174
140,2017,Angola,Sub-Saharan Africa,3.795,0.858,1.104,0.05,0,0.098
141,2019,Liberia,Sub-Saharan Africa,3.975,0.073,0.922,0.443,0.37,0.233
141,2015,Uganda,Sub-Saharan Africa,3.931,0.211,1.133,0.339,0.457,0.291
141,2016,Angola,Sub-Saharan Africa,3.866,0.847,0.664,0.05,0.006,0.121
141,2018,Lesotho,Sub-Saharan Africa,3.808,0.472,1.215,0.079,0.423,0.116
142,2019,Comoros,Sub-Saharan Africa,3.973,0.274,0.757,0.505,0.142,0.275
142,2015,Senegal,Sub-Saharan Africa,3.904,0.365,0.976,0.435,0.368,0.208
142,2016,Niger,Sub-Saharan Africa,3.856,0.133,0.605,0.262,0.38,0.21
